Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,691952919,,691952919,,759810443,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,79842,,79842,,70739,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,32,Argentina,ARG,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,44410,,44410,,51427,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,8553862,,8553862,,15899868,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3356748,,3356748,,6589110,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,48,Bahrain,BHR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,819283,,819283,,1052118,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,50,Bangladesh,BGD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,5243,,5243,,17758,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,52,Barbados,BRB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,97844,,97844,,141882,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2564153,,2564153,,4395125,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,60,Bermuda,BMU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1523637,,1523637,,1738844,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,68,Bolivia (Plurinational State of),BOL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,336481,,336481,,315709,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,76,Brazil,BRA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1909303,,1909303,,2513830,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,84,Belize,BLZ,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,193727,,193727,,143348,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,92,Br. Virgin Isds,VGB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,967012,,967012,,1057705,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,124,Canada,CAN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,106302123,,106302123,,166904859,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,136,Cayman Isds,CYM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2953911,,2953911,,3045411,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,148,Chad,TCD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,196251,,196251,,330000,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,152,Chile,CHL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,109750378,,109750378,,136889121,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,156,China,CHN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,5217756,,5217756,,8045941,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,170,Colombia,COL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,14887775,,14887775,,14577577,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,188,Costa Rica,CRI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,6223508,,6223508,,4941958,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,192,Cuba,CUB,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,655189,,655189,,417542,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,196,Cyprus,CYP,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,154451,,154451,,254267,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,208,Denmark,DNK,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,2558383,,2558383,,3318520,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,9622403,,9622403,,8988884,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,218,Ecuador,ECU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,3037,,3037,,4374,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,222,El Salvador,SLV,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,75291,,75291,,76500,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,242,Fiji,FJI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,4624,,4624,,9704,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,246,Finland,FIN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,350114,,350114,,585399,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1956747,,1956747,,3382629,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,258,French Polynesia,PYF,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,284515,,284515,,326464,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1117733,,1117733,,1157452,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,296,Kiribati,KIR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,45192,,45192,,66813,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,308,Grenada,GRD,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,15997,,15997,,16740,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,6107494,,6107494,,10430671,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,328,Guyana,GUY,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,718,,718,,8729,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,332,Haiti,HTI,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,9901,,9901,,14782,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,340,Honduras,HND,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,13702284,,13702284,,15702215,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1614602,,1614602,,2053883,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,352,Iceland,ISL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,84071,,84071,,115123,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,360,Indonesia,IDN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,23423,,23423,,61523,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,368,Iraq,IRQ,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,297504,,297504,,480000,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1182462,,1182462,,1786220,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,376,Israel,ISR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,175947,,175947,,168955,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,381,Italy,ITA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,1489379,,1489379,,2848950,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,388,Jamaica,JAM,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,156682,,156682,,223652,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,392,Japan,JPN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,4015917,,4015917,,6604748,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,398,Kazakhstan,KAZ,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,11447,,11447,,12136,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,400,Jordan,JOR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,71249,,71249,,130771,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,404,Kenya,KEN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,37758,,37758,,73877,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,22482148,,22482148,,28397671,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,414,Kuwait,KWT,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,309797,,309797,,309751,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,422,Lebanon,LBN,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,150534,,150534,,308297,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,USA,428,Latvia,LVA,,,,,,,,2203,Beer made from malt,7,Volume in litres,,,48968,,48968,,47280,,,0
